news_report_url;news_report_headline;news_report_platform;date_of_publication;author;wire_service;Notes;NO OF SUBS
Graduation day tragedy hits family;NA;ST;22/04/2012;BUYEKEIWA MAKWABE;;;1
Emotional farewell for killed student;NA;DD;25/04/2012;DAVID MACGREGOR;;;1
Murder shocks Rhodes;NA;EPH;16/04/2012;Lindile Sifile;;;1
Prize to commemorate slain student;NA;EPH;25/04/2012;David Macgregor;;;1
Crime stealing best academic minds;NA;EPH;25/04/2012;Delite Ngcezula ;;;1
We've lost one of our best;NA;EPH;23/04/2012;Saleem Badat;;;1
Failing our children;NA;DD;07/05/2012;NA;;;1
http://www.iol.co.za/news/crime-courts/teen-had-big-plans-after-murders-1.1491589;Teen had 'big plans’ after murders _ IOL;DFA;25/03/2013;Sandi Kwon Hoo;N;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
http://www.enca.com/south-africa/steenkamp-murder-accused-face-judgement;Steenkamp murder accused guilty on all charges;ENCA;27/03/2014;SAPA;SAPA;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
https://www.enca.com/south-africa/judge-questions-marthella-steenkamps-torture;Judge questions Marthella Steenkamp's torture;ENCA;21/11/2013;SAPA;SAPA-AP;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
http://www.news24.com/SouthAfrica/News/Steenkamp-murders-were-planned-state-says-20131209;Steenkamp murders were planned, State says _ News24;CP;09/12/2013;STAFF;N;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
http://you.co.za/news/griekwastad-the-attacker-was-no-stranger-to-the-steenkamp-house/;Griekwastad_ The attacker was no stranger to the Steenkamp house _ YOU;YOU;27/03/2014;SAPA;SAPA;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
http://citizen.co.za/150538/judgment-starts-steenkamp-family-murder-case/;Judgment starts in the Steenkamp family murder case _ The Citizen;CITIZEN;27/03/2014;SAPA;SAPA;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
http://huisgenoot.com/nuus/plaaslik/don-steenkamp-volgende-skuif/;Don Steenkamp se volgende skuif;HUISGENOOT;02/03/2015;STAFF;N;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
http://www.netwerk24.com/nuus/2014-08-13-griekwastad-6-april-2012-13-augustus-2014?redirect_from=volksblad;Griekwastad_ 6 April 2012 - 13 Augustus 2014 _ Netwerk24;VOLKSBLAD;13/08/2014;Charne Kemp;N;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
http://www.iol.co.za/news/crime-courts/steenkamps-killed-to-cover-rape-judge-1.1667418;Steenkamps killed to cover rape_ judge _ IOL;DFA;27/03/2014;Sandi Kwon Hoo;N;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
http://www.iol.co.za/news/crime-courts/marthella-s-murder-was-overkill-1.1605501#.VeHI4tOqpHw;Marthella’s murder was 'overkill’ _ IOL;IOL;11/11/2013;Andre Grobler SAPA;SAPA ;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
http://www.sabc.co.za/news/a/3b1ebd8041b48a8bb109b5f256fa181e/Farmundefinedmurderundefinedtrialundefinedcontinues-20130411;SABC News - Farm murder trial continues_Monday 4 November 2013;SABC;04/11/2013;SABC;N;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
http://www.sabc.co.za/news/a/2840ef0041bd6d258ea8ce270c4cf1a0/Griekwastadundefinedmurderundefinedtrialundefineddelayed-20130711;SABC News - Griekwastad murder trial delayed_Thursday 7 November 2013;SABC;07/11/2013;SAPA;SAPA ;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
http://www.sabc.co.za/news/a/6394e38041cf246cbc63bd1c2eddf908/NorthernundefinedCapeundefinedfarmundefinedmurderundefinedtrialundefinedcontinues-20131311;SABC News - Northern Cape farm murder trial continues_Wednesday 13 November 2013;SABC;13/11/2013;SAPA;SAPA;Bloody family murder (with father). Perpetrator 16yo at time of murders;1
